Ticker,ValueScore,MomentumScore,QualityScore,CompositeScore,Quintile,ForwardReturn_1m
STK48,4.649,-0.001,0.913,1.854,Q5 (Best),0.086
STK17,0.109,2.359,1.08,1.183,Q5 (Best),0.093
STK24,3.165,-1.47,1.366,1.02,Q5 (Best),-0.01
STK03,-0.245,0.945,2.072,0.924,Q5 (Best),-0.01
STK75,1.386,0.904,0.456,0.916,Q5 (Best),-0.024
STK76,-0.373,1.694,1.312,0.878,Q5 (Best),0.099
STK36,-0.56,0.558,2.297,0.765,Q5 (Best),0.025
STK74,1.249,0.901,0.125,0.758,Q5 (Best),0.028
STK29,0.621,1.739,-0.267,0.698,Q5 (Best),0.136
STK40,-0.426,2.297,0.18,0.684,Q5 (Best),-0.005
STK33,-0.847,1.373,1.213,0.58,Q5 (Best),-0.002
STK60,0.821,0.198,0.672,0.563,Q5 (Best),0.065
STK39,2.089,-1.581,1.054,0.521,Q5 (Best),0.021
STK01,1.855,0.688,-1.009,0.511,Q5 (Best),0.064
STK62,-0.902,0.495,1.94,0.511,Q5 (Best),-0.002
STK38,1.297,-0.635,0.721,0.461,Q5 (Best),0.03
STK73,-0.202,0.289,1.093,0.394,Q4,-0.033
STK09,0.58,1.677,-1.166,0.364,Q4,0.076
STK47,-0.023,0.727,0.349,0.351,Q4,0.026
STK18,-0.193,0.606,0.637,0.35,Q4,-0.043
STK71,1.375,-0.223,-0.122,0.343,Q4,0.034
STK08,-0.87,1.236,0.662,0.343,Q4,0.064
STK22,-0.174,0.727,0.443,0.332,Q4,-0.037
STK25,-0.288,1.094,0.147,0.318,Q4,-0.045
STK51,2.621,-0.502,-1.237,0.294,Q4,0.034
STK46,-0.88,0.845,0.889,0.285,Q4,-0.044
STK14,-0.395,0.084,1.071,0.253,Q4,-0.06
STK21,1.744,-0.499,-0.51,0.245,Q4,0.093
STK32,0.649,0.86,-0.808,0.233,Q4,0.114
STK80,-0.875,1.216,0.333,0.225,Q4,0.048
STK12,-0.352,0.676,0.23,0.184,Q4,0.026
STK77,-0.059,-0.67,1.283,0.184,Q4,-0.01
STK30,-0.464,-0.27,1.275,0.18,Q3,-0.038
STK78,0.269,0.626,-0.365,0.177,Q3,0.05
STK64,1.884,-1.155,-0.232,0.166,Q3,-0.045
STK53,-0.206,-0.1,0.673,0.122,Q3,0.005
STK02,-0.485,0.297,0.473,0.095,Q3,0.028
STK28,-0.974,0.295,0.826,0.049,Q3,0.011
STK79,-0.363,1.07,-0.562,0.048,Q3,0.093
STK49,-0.101,0.583,-0.472,0.004,Q3,-0.008
STK05,-0.605,0.06,0.545,-0.0,Q3,0.018
STK50,-0.508,0.652,-0.172,-0.009,Q3,-0.116
STK13,0.069,-0.078,-0.083,-0.031,Q3,-0.027
STK06,-0.263,-1.095,1.246,-0.037,Q3,-0.0
STK67,-0.731,-0.328,0.773,-0.095,Q3,-0.021
STK23,-0.451,-0.216,0.349,-0.106,Q3,-0.065
STK20,-0.817,-0.29,0.753,-0.118,Q3,-0.035
STK34,0.093,0.368,-0.873,-0.137,Q3,-0.104
STK10,0.147,0.231,-0.878,-0.167,Q2,0.002
STK54,-0.112,-0.116,-0.313,-0.18,Q2,0.094
STK27,-0.459,1.409,-1.495,-0.182,Q2,0.026
STK31,-0.59,-0.322,0.32,-0.197,Q2,0.116
STK16,-0.8,0.306,-0.127,-0.207,Q2,-0.101
STK57,-0.795,0.789,-0.635,-0.214,Q2,-0.105
STK07,-0.264,0.15,-0.751,-0.289,Q2,-0.098
STK52,-0.123,-0.413,-0.332,-0.289,Q2,-0.088
STK11,-0.547,0.557,-0.884,-0.291,Q2,-0.024
STK61,-0.443,-0.669,0.215,-0.299,Q2,0.026
STK42,-0.357,-1.734,1.139,-0.317,Q2,0.043
STK45,-0.859,0.204,-0.381,-0.346,Q2,-0.07
STK55,-0.333,-1.359,0.543,-0.383,Q2,-0.02
STK66,-0.639,-0.628,0.044,-0.408,Q2,-0.103
STK69,-0.413,-0.777,-0.037,-0.409,Q2,0.008
STK58,0.066,-1.489,0.062,-0.453,Q2,0.039
STK43,0.12,0.057,-1.574,-0.466,Q1 (Cheapest/Weakest),-0.02
STK63,-0.317,-1.182,-0.225,-0.574,Q1 (Cheapest/Weakest),-0.032
STK68,-0.689,-0.398,-0.799,-0.629,Q1 (Cheapest/Weakest),-0.056
STK19,-0.098,-0.386,-1.445,-0.643,Q1 (Cheapest/Weakest),-0.026
STK44,-0.593,0.067,-1.466,-0.664,Q1 (Cheapest/Weakest),-0.018
STK59,-0.314,-1.554,-0.197,-0.688,Q1 (Cheapest/Weakest),-0.048
STK41,0.375,-0.652,-1.841,-0.706,Q1 (Cheapest/Weakest),0.014
STK15,-0.387,-0.727,-1.02,-0.711,Q1 (Cheapest/Weakest),-0.016
STK70,-0.727,-2.274,0.811,-0.73,Q1 (Cheapest/Weakest),-0.051
STK65,-0.45,-1.04,-1.131,-0.873,Q1 (Cheapest/Weakest),-0.203
STK04,-0.005,-1.022,-1.635,-0.887,Q1 (Cheapest/Weakest),-0.092
STK56,-0.417,-1.663,-0.615,-0.899,Q1 (Cheapest/Weakest),-0.113
STK37,-0.734,-0.183,-2.091,-1.003,Q1 (Cheapest/Weakest),-0.163
STK72,-0.405,-2.45,-0.554,-1.137,Q1 (Cheapest/Weakest),-0.012
STK26,-0.799,-0.61,-2.029,-1.146,Q1 (Cheapest/Weakest),-0.094
STK35,-0.933,-1.151,-2.25,-1.445,Q1 (Cheapest/Weakest),-0.097
