RiskAversion,ExpectedCost_dollars,CostStdDev_dollars
0.0,7271.41,244431.75
0.0,7303.05,239419.86
0.0,7377.66,231897.5
0.0,7544.48,221044.19
0.0,7890.43,206238.09
0.0,8540.85,187483.63
0.0,9630.72,165743.87
0.0,11256.03,142741.77
0.0,13456.5,120174.32
0.0,16252.8,99030.28
0.0,19678.2,79612.47
0.0,23751.56,61961.6
0.0,28411.1,46153.23
0.0,33444.15,32387.45
0.0,38447.58,20967.79
0.0,42881.56,12190.12
0.0,46259.76,6152.85
0.0,48389.9,2586.49
0.0,49458.26,860.3
0.0,49865.7,212.36
0.0,49977.28,35.88
0.0,49997.63,3.74
0.0,49999.87,0.21
0.0,50000.0,0.01
0.0,50000.0,0.0
