Date,CompositeRawReturn,ValueFactorReturn,MomentumFactorReturn,QualityFactorReturn,VolScalar,Turnover,ScaledReturn,TransactionCost,NetReturn,NetEquity,GrossEquity
2023-01-31,0.0226,-0.0069,0.018,-0.0023,1.0,1.0,0.0226,0.0015,0.0211,1.0211,1.0226
2023-02-28,0.012,-0.033,0.0042,0.001,1.0,1.75,0.012,0.0026,0.0094,1.0307,1.0349
2023-03-31,0.0114,0.0144,0.0254,0.0224,1.0,1.125,0.0114,0.0017,0.0097,1.0407,1.0467
2023-04-30,0.0049,0.0156,-0.0449,0.0131,2.0,2.75,0.0098,0.0041,0.0057,1.0466,1.0569
2023-05-31,-0.0238,0.0212,-0.0334,-0.0144,2.0,3.25,-0.0477,0.0049,-0.0526,0.9915,1.0065
2023-06-30,0.0436,0.0203,0.0297,0.0303,1.3168,2.4938,0.0574,0.0037,0.0536,1.0447,1.0642
2023-07-31,0.0403,0.0726,-0.0077,0.0274,1.0447,2.1003,0.0421,0.0032,0.039,1.0854,1.1091
2023-08-31,0.0148,0.0067,0.0123,0.0057,0.929,1.6253,0.0137,0.0024,0.0113,1.0977,1.1243
2023-09-30,0.0461,0.0162,0.0527,0.048,0.9302,1.627,0.0429,0.0024,0.0405,1.1421,1.1725
2023-10-31,0.0484,-0.0301,0.0014,0.0707,0.8352,1.2434,0.0404,0.0019,0.0385,1.1861,1.2199
2023-11-30,-0.007,0.009,-0.0097,-0.0166,0.8165,1.4476,-0.0057,0.0022,-0.0079,1.1768,1.2129
2023-12-31,0.0123,-0.0099,-0.0135,0.0426,1.0364,1.5467,0.0128,0.0023,0.0104,1.189,1.2284
2024-01-31,0.0306,0.0033,0.0504,0.0032,1.0301,1.6802,0.0315,0.0025,0.029,1.2235,1.2671
2024-02-29,0.0266,-0.0219,0.0338,0.0108,1.0745,1.5895,0.0286,0.0024,0.0262,1.2556,1.3033
2024-03-31,0.0426,0.0465,0.0309,0.0331,1.1001,1.7717,0.0469,0.0027,0.0443,1.3111,1.3645
2024-04-30,0.0079,-0.0123,0.0366,-0.0243,1.1336,1.5462,0.009,0.0023,0.0067,1.3199,1.3767
2024-05-31,-0.0186,0.0018,-0.0151,-0.0358,1.2931,2.0016,-0.024,0.003,-0.027,1.2842,1.3436
2024-06-30,-0.0127,-0.0032,-0.0223,0.0095,1.0754,1.9652,-0.0137,0.0029,-0.0167,1.2628,1.3252
2024-07-31,0.0073,0.0136,0.0047,0.0256,0.9336,1.7756,0.0068,0.0027,0.0041,1.268,1.3342
2024-08-31,0.0167,-0.0232,-0.0037,0.0169,0.9976,1.4644,0.0167,0.0022,0.0145,1.2864,1.3565
2024-09-30,-0.0509,-0.0481,-0.049,-0.0312,1.0519,1.6754,-0.0535,0.0025,-0.056,1.2143,1.2839
2024-10-31,0.0189,0.0222,-0.0039,0.0143,0.932,1.6344,0.0176,0.0025,0.0151,1.2327,1.3064
2024-11-30,-0.0077,-0.0096,0.0069,-0.0283,0.8697,1.4756,-0.0067,0.0022,-0.0089,1.2217,1.2977
2024-12-31,-0.0093,0.032,-0.0181,-0.0194,0.8905,1.2166,-0.0083,0.0018,-0.0101,1.2093,1.2869
2025-01-31,0.0096,0.017,-0.0002,-0.0178,0.8966,1.3418,0.0086,0.002,0.0066,1.2173,1.298
2025-02-28,-0.0227,-0.0217,-0.0089,0.0167,0.8888,1.3409,-0.0202,0.002,-0.0222,1.1903,1.2719
2025-03-31,0.0498,0.0248,0.0131,0.0568,0.9343,1.2676,0.0466,0.0019,0.0447,1.2435,1.3311
2025-04-30,-0.0248,-0.0379,-0.0586,0.0305,0.8932,1.3809,-0.0222,0.0021,-0.0242,1.2133,1.3016
2025-05-31,0.0523,0.0063,-0.0078,0.0379,0.8325,0.9972,0.0436,0.0015,0.0421,1.2644,1.3583
2025-06-30,0.0579,0.0658,-0.0121,0.0294,0.6651,0.9988,0.0385,0.0015,0.037,1.3112,1.4106
2025-07-31,-0.0025,-0.0033,0.0313,-0.0058,0.604,0.9671,-0.0015,0.0015,-0.003,1.3073,1.4085
2025-08-31,0.0394,-0.017,0.0244,0.0307,0.5888,1.1193,0.0232,0.0017,0.0215,1.3354,1.4411
2025-09-30,0.007,-0.0013,0.0094,0.0117,0.6775,0.8247,0.0047,0.0012,0.0035,1.3401,1.4479
2025-10-31,0.0352,0.0064,0.0245,0.0248,0.6946,1.118,0.0245,0.0017,0.0228,1.3706,1.4834
2025-11-30,0.0182,-0.0049,0.0128,0.0282,0.9484,1.4694,0.0172,0.0022,0.015,1.3912,1.5089
2025-12-31,-0.0138,-0.0156,0.0363,-0.0023,1.0294,1.7407,-0.0142,0.0026,-0.0168,1.3679,1.4875
